number_of_snps	CellType
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
5	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
5	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
4	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
3	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
2	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
0	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
1	CD3-positive_T_cell-Roadmap
