number_of_snps	CellType
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
2	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
2	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
3	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
2	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
1	astrocyte-ENCODE
0	astrocyte-ENCODE
0	astrocyte-ENCODE
2	astrocyte-ENCODE
1	astrocyte-ENCODE
1	astrocyte-ENCODE
